topic,question,difficulty,explanation,choice_a,choice_b,choice_c,choice_d,choice_e,answer
General Information & the 1987 Constitution,The Philippine government is divided into how many main branches?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Three (Executive, Legislative, and Judicial).",Five (including the Military),"Three (Executive, Legislative, and Judicial)",Two (Executive and Legislative),Four (adding the Church),,B
General Information & the 1987 Constitution,Where is the seat of the Philippine executive branch located?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Malacañang Palace.",The Batasang Pambansa,The Old Senate Building,Malacañang Palace,Fort Santiago,,C
General Information & the 1987 Constitution,The Bill of Rights corresponds to which article of the 1987 Constitution?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Article III.",Article III,Article V,Article IV,Article II,,A
General Information & the 1987 Constitution,Which article of the 1987 Constitution is known as the Bill of Rights?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Article III.",Article II,Article V,Article IV,Article III,,D
General Information & the 1987 Constitution,Which constitution did the 1987 Constitution replace?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The 1973 Constitution.",The Malolos Constitution,The 1898 Constitution,The 1935 Constitution,The 1973 Constitution,,D
General Information & the 1987 Constitution,What is the central personnel agency of the Philippine government?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Civil Service Commission.",The Commission on Audit,The Commission on Elections,The Civil Service Commission,The Department of Budget and Management,,C
General Information & the 1987 Constitution,On what date did the Philippines declare independence from Spain?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: June 12, 1898.","December 30, 1896","June 12, 1898","July 4, 1946","May 1, 1898",,B
General Information & the 1987 Constitution,Which provision guarantees the right of the people to information on matters of public concern?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The right to information on matters of public concern.",The right to due process,The right to information on matters of public concern,The right to counsel,The right to a speedy trial,,B
General Information & the 1987 Constitution,Which tree is recognized as the national tree of the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Narra.",Bamboo,Acacia,Narra,Mahogany,,C
General Information & the 1987 Constitution,How many branches of government does the Philippines have under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Three (Executive, Legislative, and Judicial).",Two (Executive and Legislative),"Three (Executive, Legislative, and Judicial)",Four (adding the Church),Five (including the Military),,B
General Information & the 1987 Constitution,Name the three independent Constitutional Commissions of the Philippines.,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Civil Service Commission, Commission on Elections, and Commission on Audit.","Department of Justice, DILG, and DBM","Ombudsman, COMELEC, and DOJ","Civil Service Commission, Commission on Elections, and Commission on Audit","Senate, House, and Judiciary",,C
General Information & the 1987 Constitution,Which article of the 1987 Constitution describes marriage as an inviolable social institution?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Article XV.",Article III,Article XIII,Article XV,Article II,,C
General Information & the 1987 Constitution,How many consecutive terms may a member of the House of Representatives serve?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A maximum of three consecutive terms.",No term limit,A maximum of three consecutive terms,A maximum of two consecutive terms,A maximum of one term,,B
General Information & the 1987 Constitution,How is the Civil Service Commission (CSC) composed under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A Chairman and 2 Commissioners (3 total).",A Chairman and 6 Commissioners (7 total),A Chairman and 2 Commissioners (3 total),"A Chairman alone, with no Commissioners",A Chairman and 4 Commissioners (5 total),,B
General Information & the 1987 Constitution,"Under Article IX-B, Section 1, the CSC is composed of a Chairman and how many Commissioners?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A Chairman and 2 Commissioners (3 total).",A Chairman and 4 Commissioners (5 total),A Chairman and 6 Commissioners (7 total),"A Chairman alone, with no Commissioners",A Chairman and 2 Commissioners (3 total),,D
General Information & the 1987 Constitution,"Under Article VI, Section 3, how old must a Senate candidate be at least?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: At least 35 years old.",At least 25 years old,At least 35 years old,At least 30 years old,At least 40 years old,,B
General Information & the 1987 Constitution,When was the 1987 Constitution ratified?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: February 2, 1987.","February 25, 1986","November 30, 1987","February 2, 1987","June 12, 1987",,C
General Information & the 1987 Constitution,"How many years of Philippine residency, immediately before the election, must a presidential candidate have at least?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: At least 10 years.",At least 20 years,At least 5 years,At least 15 years,At least 10 years,,D
General Information & the 1987 Constitution,"Under Article III, Section 14(2), what presumption applies to an accused person?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Presumed innocent.",Presumed guilty,Presumed innocent,Presumed neutral,Presumed a flight risk,,B
General Information & the 1987 Constitution,"Under Article III, Section 11, may free access to courts be denied because of poverty?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: No, free access to the courts shall not be denied to any person by reason of poverty.","No, free access to the courts shall not be denied to any person by reason of poverty",Only government employees have free access,Free access applies only to criminal cases,"Yes, court fees must always be paid in full",,A
General Information & the 1987 Constitution,"Under Article XI, Section 11, how many years does the Ombudsman serve?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 7 years, without reappointment.","5 years, without reappointment","4 years, renewable twice","7 years, without reappointment","6 years, renewable once",,C
General Information & the 1987 Constitution,What are the basic local government units in the Philippines?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Provinces, cities, municipalities, and barangays.","Provinces, cities, municipalities, and barangays","Districts, wards, and sitios","Regions, provinces, and towns",Provinces and barangays only,,A
General Information & the 1987 Constitution,Which composer wrote the melody of the Philippine national anthem?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Julian Felipe.",Jose Palma,Francisco Balagtas,Jose Rizal,Julian Felipe,,D
General Information & the 1987 Constitution,Which Filipino reformist and writer is widely regarded as the country's national hero?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Jose Rizal.",Emilio Aguinaldo,Jose Rizal,Andres Bonifacio,Antonio Luna,,B
General Information & the 1987 Constitution,Which President was ousted from power by the 1986 EDSA People Power Revolution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Ferdinand Marcos.",Corazon Aquino,Diosdado Macapagal,Elpidio Quirino,Ferdinand Marcos,,D
General Information & the 1987 Constitution,What is the smallest political unit of local government in the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The barangay.",The district,The region,The barangay,The province,,C
General Information & the 1987 Constitution,What is the official name of the administrative region that covers Metro Manila?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The National Capital Region (NCR).",The Metro Manila Province,The Central Luzon Region,Region IV-A,The National Capital Region (NCR),,D
General Information & the 1987 Constitution,Who presides over the House of Representatives?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Speaker of the House.",The Chief Justice,The Senate President,The Speaker of the House,The Majority Floor Leader only,,C
General Information & the 1987 Constitution,The Philippines was named after which historical figure?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: King Philip II of Spain.",Queen Isabella I of Spain,King Philip II of Spain,King Ferdinand II of Spain,King Charles I of Spain,,B
General Information & the 1987 Constitution,Metro Manila is officially designated as which region?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The National Capital Region (NCR).",The Metro Manila Province,The Central Luzon Region,The National Capital Region (NCR),Region IV-A,,C
General Information & the 1987 Constitution,Which department has jurisdiction over the Armed Forces of the Philippines?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Department of National Defense.",The Department of the Interior and Local Government,The Department of Foreign Affairs,The Department of National Defense,The Department of Justice,,C
General Information & the 1987 Constitution,The Armed Forces of the Philippines is under the authority of which department?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Department of National Defense.",The Department of Justice,The Department of National Defense,The Department of the Interior and Local Government,The Department of Foreign Affairs,,B
General Information & the 1987 Constitution,"How many consecutive terms may a local elective official, such as a mayor, serve?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A maximum of three consecutive terms.",A maximum of three consecutive terms,No term limit,A maximum of two consecutive terms,A maximum of one term,,A
General Information & the 1987 Constitution,"Under Article VII, Section 3, what qualifications must a Vice President have?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The same qualifications as the President.",No qualifications are specified,Only citizenship is required,Slightly lower age and residency requirements,The same qualifications as the President,,D
General Information & the 1987 Constitution,The original Spanish lyrics later adapted into the Philippine national anthem were written by whom?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Jose Palma.",Julian Felipe,Apolinario Mabini,Jose Palma,Andres Bonifacio,,C
General Information & the 1987 Constitution,Which city serves as the capital of the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Manila.",Cebu City,Manila,Quezon City,Davao City,,B
General Information & the 1987 Constitution,What is the term of office of the Ombudsman under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 7 years, without reappointment.","6 years, renewable once","5 years, without reappointment","4 years, renewable twice","7 years, without reappointment",,D
General Information & the 1987 Constitution,What is the capital of the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Manila.",Quezon City,Manila,Davao City,Cebu City,,B
General Information & the 1987 Constitution,"Under Article VI, Section 6, how old must a House candidate be at least?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: At least 25 years old.",At least 21 years old,At least 30 years old,At least 35 years old,At least 25 years old,,D
General Information & the 1987 Constitution,What are the three modes of proposing amendments to the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: By Congress, a Constitutional Convention, or a People's Initiative.",By the Supreme Court alone,By the President alone,"By Congress, a Constitutional Convention, or a People's Initiative",By a simple public referendum with no proposal stage,,C
General Information & the 1987 Constitution,"Who composed the music of the Philippine national anthem, 'Lupang Hinirang'?",easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Julian Felipe.",Jose Rizal,Julian Felipe,Jose Palma,Francisco Balagtas,,B
General Information & the 1987 Constitution,What is the general power of the State to regulate conduct and property for public welfare called?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Police power.",The power of taxation,The power of judicial review,Police power,The power of eminent domain,,C
General Information & the 1987 Constitution,"Which date honors Andres Bonifacio, founder of the Katipunan?",easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: November 30.",June 12,November 30,December 30,August 21,,B
General Information & the 1987 Constitution,"Under Article II, Section 3, which authority is supreme over the military at all times?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Civilian authority.",Church authority,Civilian authority,Military authority,Foreign authority,,B
General Information & the 1987 Constitution,"The Transitory Provisions are found in which, and final, article of the 1987 Constitution?",easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Article XVIII.",Article XVIII,Article XVI,Article XII,Article XIV,,A
General Information & the 1987 Constitution,"Which inherent power of the State allows it to enact laws to promote public health, safety, and welfare?",easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Police power.",The power of eminent domain,Police power,The power of judicial review,The power of taxation,,B
General Information & the 1987 Constitution,Which flower is recognized as the national flower of the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Sampaguita.",Sampaguita,Rose,Gumamela,Ilang-ilang,,A
General Information & the 1987 Constitution,What does the 1987 Constitution say about free access to the courts?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: No, free access to the courts shall not be denied to any person by reason of poverty.","Yes, court fees must always be paid in full",Free access applies only to criminal cases,"No, free access to the courts shall not be denied to any person by reason of poverty",Only government employees have free access,,C
General Information & the 1987 Constitution,What are the three main island groups of the Philippines?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Luzon, Visayas, and Mindanao.","Luzon, Visayas, and Mindanao","Visayas, Mindanao, and Sulu","Luzon, Bicol, and Mindanao","Luzon, Palawan, and Mindanao",,A
General Information & the 1987 Constitution,What is the minimum age requirement to become a member of the House of Representatives?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: At least 25 years old.",At least 35 years old,At least 21 years old,At least 25 years old,At least 30 years old,,C
General Information & the 1987 Constitution,The Philippines gained independence from the United States on what date?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: July 4, 1946.","February 25, 1986","November 30, 1946","July 4, 1946","June 12, 1898",,C
General Information & the 1987 Constitution,What is the national flower of the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Sampaguita.",Gumamela,Sampaguita,Rose,Ilang-ilang,,B
General Information & the 1987 Constitution,How many years does a Philippine Vice President serve per term?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 6 years.",4 years,6 years,5 years,3 years,,B
General Information & the 1987 Constitution,"Under Article IX-C, Section 1, COMELEC is composed of a Chairman and how many Commissioners?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A Chairman and 6 Commissioners (7 total).",A Chairman and 2 Commissioners (3 total),A Chairman and 4 Commissioners (5 total),A Chairman and 6 Commissioners (7 total),A Chairman and 8 Commissioners (9 total),,C
General Information & the 1987 Constitution,"Which river, also called the Rio Grande de Cagayan, is the longest in the country?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Cagayan River.",The Pampanga River,The Pasig River,The Agno River,The Cagayan River,,D
General Information & the 1987 Constitution,Which department exercises supervision and control over the Philippine National Police?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Department of the Interior and Local Government (DILG).",The Department of the Interior and Local Government (DILG),The Department of National Defense,The Office of the President alone,The Department of Justice,,A
General Information & the 1987 Constitution,Which date commemorates the execution of Dr. Jose Rizal?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: December 30.",November 30,June 12,February 25,December 30,,D
General Information & the 1987 Constitution,On what date is Rizal Day observed in the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: December 30.",November 30,February 25,June 12,December 30,,D
General Information & the 1987 Constitution,Which is the largest island group/island in the Philippines by land area?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Luzon.",Visayas,Mindanao,Palawan,Luzon,,D
General Information & the 1987 Constitution,The framing of the 1987 Constitution followed which major historical event?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The 1986 EDSA People Power Revolution.",The 1986 EDSA People Power Revolution,The Philippine Revolution of 1896,The Martial Law declaration of 1972,World War II,,A
General Information & the 1987 Constitution,On what date was the 1987 Constitution ratified in a national plebiscite?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: February 2, 1987.","February 25, 1986","February 2, 1987","June 12, 1987","November 30, 1987",,B
General Information & the 1987 Constitution,What is the term of office of a member of the House of Representatives?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 3 years.",6 years,2 years,4 years,3 years,,D
General Information & the 1987 Constitution,What is the term limit for local elective officials under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A maximum of three consecutive terms.",A maximum of two consecutive terms,A maximum of one term,A maximum of three consecutive terms,No term limit,,C
General Information & the 1987 Constitution,Which Bill of Rights provision protects the privacy of communication and correspondence?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The right to privacy of communication and correspondence.",The right to information,The right to privacy of communication and correspondence,The right to free speech,The right against unreasonable searches only,,B
General Information & the 1987 Constitution,"Who originally wrote the lyrics of the Philippine national anthem, in Spanish, titled 'Filipinas'?",easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Jose Palma.",Julian Felipe,Andres Bonifacio,Apolinario Mabini,Jose Palma,,D
General Information & the 1987 Constitution,What position leads and presides over sessions of the House of Representatives?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Speaker of the House.",The Chief Justice,The Senate President,The Majority Floor Leader only,The Speaker of the House,,D
General Information & the 1987 Constitution,What is the longest river in the Philippines?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Cagayan River.",The Cagayan River,The Pampanga River,The Agno River,The Pasig River,,A
General Information & the 1987 Constitution,On what date is Bonifacio Day observed in the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: November 30.",November 30,June 12,August 21,December 30,,A
General Information & the 1987 Constitution,Under whose administration and under what condition was the 1973 Constitution ratified?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Under President Ferdinand Marcos, during Martial Law.","Under President Manuel Quezon, during the Commonwealth",Under American colonial rule,"Under President Corazon Aquino, after EDSA","Under President Ferdinand Marcos, during Martial Law",,D
General Information & the 1987 Constitution,"The Philippine Revolution, led by the Katipunan, broke out in what year?",easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 1896.",1896,1898,1901,1899,,A
General Information & the 1987 Constitution,What is the term of office of a Philippine Senator?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 6 years.",6 years,3 years,5 years,4 years,,A
General Information & the 1987 Constitution,In what year did the Philippine Revolution against Spain begin?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 1896.",1898,1901,1899,1896,,D
General Information & the 1987 Constitution,What are the official languages of the Philippines for purposes of communication and instruction?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Filipino and English.",English and Spanish,Filipino only,Filipino and Spanish,Filipino and English,,D
General Information & the 1987 Constitution,Which currency is legal tender in the Philippines?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The Philippine peso.",The Philippine dollar,The Philippine ringgit,The Philippine rupiah,The Philippine peso,,D
General Information & the 1987 Constitution,What is the official residence and workplace of the Philippine President?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Malacañang Palace.",Fort Santiago,Malacañang Palace,The Old Senate Building,The Batasang Pambansa,,B
General Information & the 1987 Constitution,"Under Article VIII, Section 4, the Supreme Court is composed of a Chief Justice and how many Associate Justices, for a total of how many members?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A Chief Justice and 14 Associate Justices (15 total).",A Chief Justice and 14 Associate Justices (15 total),A Chief Justice and 20 Associate Justices (21 total),A Chief Justice and 8 Associate Justices (9 total),A Chief Justice and 10 Associate Justices (11 total),,A
General Information & the 1987 Constitution,"Which three colors, plus the sun and stars, appear on the Philippine flag?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Blue, red, and white.","Blue, green, and white","Blue, red, and white","Red, yellow, and white","Blue, red, and yellow",,B
General Information & the 1987 Constitution,"Under the 1987 Constitution, may a law impairing the obligation of contracts be passed?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: No law impairing the obligation of contracts shall be passed.",Such laws are allowed if approved by Congress,Such laws are allowed only during a state of emergency,There is no rule on this in the Constitution,No law impairing the obligation of contracts shall be passed,,D
General Information & the 1987 Constitution,Which article of the 1987 Constitution recognizes the family as the foundation of the nation?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Article XV.",Article XIV,Article XVI,Article XV,Article XIII,,C
General Information & the 1987 Constitution,Which unit of government is smaller than a municipality and forms the basic community unit?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The barangay.",The province,The barangay,The region,The district,,B
General Information & the 1987 Constitution,What historical event is commemorated every February 25 in the Philippines?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The EDSA People Power Revolution.",The ratification of the 1987 Constitution,Philippine Independence Day,The EDSA People Power Revolution,Rizal Day,,C
General Information & the 1987 Constitution,What is the Philippine national anthem called?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Lupang Hinirang.",Ako ay Pilipino,Lupang Hinirang,Pilipinas Kong Mahal,Bayan Ko,,B
General Information & the 1987 Constitution,How many successive terms may a Philippine Vice President serve under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A maximum of two successive terms.",No term limit,A maximum of three successive terms,A maximum of one term,A maximum of two successive terms,,D
General Information & the 1987 Constitution,"The Katipunan, founded in 1892, was led by which Filipino revolutionary?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Andres Bonifacio.",Jose Rizal,Emilio Aguinaldo,Andres Bonifacio,Apolinario Mabini,,C
General Information & the 1987 Constitution,"How many stars appear on the Philippine flag, and what do they represent?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Three stars, representing Luzon, Visayas, and Mindanao.","Five stars, representing the regions","Three stars, representing the first three presidents","Three stars, representing Luzon, Visayas, and Mindanao","Three stars, representing the three branches of government",,C
General Information & the 1987 Constitution,How many years does a Senator serve under the 1987 Constitution?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 6 years.",3 years,5 years,6 years,4 years,,C
General Information & the 1987 Constitution,"What is the power of the State to take private property for public use, with just compensation, called?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Just compensation (power of eminent domain).",A government subsidy,Fair market interest,Just compensation (power of eminent domain),"Free transfer, without payment",,C
General Information & the 1987 Constitution,The 1987 Constitution was drafted in the aftermath of which event?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The 1986 EDSA People Power Revolution.",The 1986 EDSA People Power Revolution,World War II,The Martial Law declaration of 1972,The Philippine Revolution of 1896,,A
General Information & the 1987 Constitution,How many members make up the Philippine Senate?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 24.",12,18,30,24,,D
General Information & the 1987 Constitution,"Under the 1987 Constitution, how may amendments or revisions be proposed?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: By Congress, a Constitutional Convention, or a People's Initiative.",By a simple public referendum with no proposal stage,By the Supreme Court alone,By the President alone,"By Congress, a Constitutional Convention, or a People's Initiative",,D
General Information & the 1987 Constitution,Which anniversary is observed on February 25 each year?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The EDSA People Power Revolution.",The EDSA People Power Revolution,Rizal Day,Philippine Independence Day,The ratification of the 1987 Constitution,,A
General Information & the 1987 Constitution,What are the colors of the Philippine flag?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Blue, red, and white.","Blue, red, and yellow","Blue, green, and white","Blue, red, and white","Red, yellow, and white",,C
General Information & the 1987 Constitution,What is the minimum residency requirement to run for President of the Philippines?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: At least 10 years.",At least 5 years,At least 10 years,At least 15 years,At least 20 years,,B
General Information & the 1987 Constitution,What is the national language of the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Filipino.",Spanish,"Tagalog only, by law separate from Filipino",English,Filipino,,D
General Information & the 1987 Constitution,What are the minimum qualifications for Vice President under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The same qualifications as the President.",No qualifications are specified,The same qualifications as the President,Slightly lower age and residency requirements,Only citizenship is required,,B
General Information & the 1987 Constitution,The 1987 Constitution is composed of how many Articles?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 18 Articles.",15 Articles,18 Articles,12 Articles,20 Articles,,B
General Information & the 1987 Constitution,"Under Article XIV, Section 7, which two languages are designated as official languages?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Filipino and English.",Filipino only,Filipino and English,Filipino and Spanish,English and Spanish,,B
General Information & the 1987 Constitution,The country name 'Philippines' honors which 16th-century monarch?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: King Philip II of Spain.",King Philip II of Spain,Queen Isabella I of Spain,King Charles I of Spain,King Ferdinand II of Spain,,A
General Information & the 1987 Constitution,What is the minimum age requirement to become President of the Philippines?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: At least 40 years old.",At least 40 years old,At least 35 years old,At least 50 years old,At least 45 years old,,A
General Information & the 1987 Constitution,"According to Article II, Section 1, the Philippines is described as what kind of state?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A democratic and republican State.",A monarchical State,A democratic and republican State,A parliamentary State,A federal State,,B
General Information & the 1987 Constitution,What are the three Constitutional Commissions created under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Civil Service Commission, Commission on Elections, and Commission on Audit.","Senate, House, and Judiciary","Department of Justice, DILG, and DBM","Civil Service Commission, Commission on Elections, and Commission on Audit","Ombudsman, COMELEC, and DOJ",,C
General Information & the 1987 Constitution,What is the term limit for the Vice President under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A maximum of two successive terms.",A maximum of one term,A maximum of three successive terms,No term limit,A maximum of two successive terms,,D
General Information & the 1987 Constitution,Who is popularly recognized as the national hero of the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Jose Rizal.",Andres Bonifacio,Antonio Luna,Emilio Aguinaldo,Jose Rizal,,D
General Information & the 1987 Constitution,What education program added Kindergarten and extended basic education to 12 years?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The K to 12 Program.",The Alternative Learning System,The Madrasah Education Program,The K to 12 Program,The Special Education Program,,C
General Information & the 1987 Constitution,The 1935 Constitution was crafted in preparation for what political change?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The transition to Commonwealth status and eventual independence from the United States.",Full independence from Spain,The transition to Commonwealth status and eventual independence from the United States,Federalism under British rule,Annexation by Japan,,B
General Information & the 1987 Constitution,What kind of public education does the 1987 Constitution require the State to provide for free?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Free public education at the elementary and secondary levels.",Free public education at the elementary and secondary levels,Free education only at the elementary level,"Free education at all levels, including college",There is no requirement for free public education,,A
General Information & the 1987 Constitution,"Under Article V, Section 1, at what age may a Filipino citizen exercise the right of suffrage?",easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 18 years old.",15 years old,18 years old,16 years old,21 years old,,B
General Information & the 1987 Constitution,"Under Article III, Section 3, what right protects a person's letters and messages from being disclosed?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: The right to privacy of communication and correspondence.",The right to privacy of communication and correspondence,The right to information,The right to free speech,The right against unreasonable searches only,,A
General Information & the 1987 Constitution,How is the Commission on Elections (COMELEC) composed under the 1987 Constitution?,medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: A Chairman and 6 Commissioners (7 total).",A Chairman and 8 Commissioners (9 total),A Chairman and 4 Commissioners (5 total),A Chairman and 2 Commissioners (3 total),A Chairman and 6 Commissioners (7 total),,D
General Information & the 1987 Constitution,What is the national tree of the Philippines?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Narra.",Acacia,Bamboo,Mahogany,Narra,,D
General Information & the 1987 Constitution,How many Senators comprise the Philippine Senate under the 1987 Constitution?,easy,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: 24.",18,12,24,30,,C
General Information & the 1987 Constitution,"Under the Bill of Rights, until proven guilty, how is an accused person treated?",medium,"Per the 1987 Philippine Constitution / standard civics reference, the correct answer is: Presumed innocent.",Presumed guilty,Presumed neutral,Presumed a flight risk,Presumed innocent,,D
